Entity,Code,Year,Number of described species
All groups,,2020,2115985
Amphibians,,2020,8250
Arachnids,,2020,110615
Birds,,2020,11158
Brown Algae,,2020,4326
Corals,,2020,2175
Crustaceans,,2020,80122
Ferns and Allies,,2020,11800
Fishes,,2020,35672
Flowering Plants,,2020,369000
Fungi and Protists,,2020,141326
Green Algae,,2020,11646
Gymnosperms,,2020,1113
Horseshoe Crabs,,2020,4
Insects,,2020,1053578
Invertebrates,,2020,1478938
Lichens,,2020,17000
Mammals,,2020,6485
Molluscs,,2020,80460
Mosses,,2020,21925
Mushrooms etc.,,2020,120000
Other Invertebrates,,2020,151801
Plants,,2020,422815
Red Algae,,2020,7331
Reptiles,,2020,11341
Velvet Worms,,2020,183
Vertebrates,,2020,72906